File ID	Sample Type	Tpm_val
8ddad1cb-d2ab-4fbf-865e-f134fcce0194	Primary Tumor	150.8607
2f2cc9dc-1d0a-4302-b674-02d56c259ff3	Primary Tumor	134.3559
361e4878-4535-499d-9987-7295a078bbee	Primary Tumor	189.9832
968c4aa2-2bcd-4823-b7fa-fbedc41ddb25	Primary Tumor	272.5691
3ceb828a-3612-46e8-89c5-397cb20e5356	Primary Tumor	110.7193
ba3e1d1e-3193-4770-9c57-b4ff1502af38	Primary Tumor	10.9831
2bbe47a1-f055-43e7-94d3-06aafb5af6e8	Primary Tumor	571.0358
bae501f3-c0ba-4646-8027-0623869176f4	Primary Tumor	133.347
27884724-a2c0-4b3e-921a-54e5f8bf1faa	Primary Tumor	243.1775
c343f781-c1df-4349-aab3-f159329a11da	Primary Tumor	110.2161
e98c7df6-1a65-41a0-9182-c752c89eafc7	Primary Tumor	193.4675
f700b996-2ccf-4f59-9249-da7f087054ba	Solid Tissue Normal	151.4976
29dd3ad7-f2c6-4abf-8e81-6734e4bd8a6a	Solid Tissue Normal	113.6816
78d70b30-8812-4802-bca7-f1b8135b9cbd	Primary Tumor	290.3962
b5df8e57-5822-4192-a4a4-398d11e9d968	Primary Tumor	162.9629
515aa64c-316b-497e-b877-7ab0c89a58bd	Primary Tumor	161.6858
503df94c-0048-4f7b-b957-3f8304be73f0	Primary Tumor	57.575
030d778f-ecb4-44eb-8baa-4286e18c9fdd	Primary Tumor	201.229
850bb68e-cea7-4d66-b044-24dbef74e255	Primary Tumor	158.5695
4756b201-87c2-4428-b2cd-f933422fe8cf	Solid Tissue Normal	142.0076
b0a1b626-c44b-4a95-b4a4-383fc63f8649	Primary Tumor	115.9908
648b0d02-f264-4d88-9997-baed8f000a60	Primary Tumor	419.4115
cb061496-b611-48bb-9484-c6ca07f9951e	Primary Tumor	280.3047
d72c21fe-ff33-4f1e-a138-420968f1daf4	Primary Tumor	82.1519
119e7a6c-7fd1-4a2d-bfdc-35cb13d39414	Primary Tumor	171.9645
ca34be5f-799c-4df4-af91-ec8a9e958d6c	Primary Tumor	630.4263
7a3f27a9-476d-43e2-abb8-db402f80dfcf	Primary Tumor	67.8543
d05a80fc-d08a-47df-b7cd-0172b9977d46	Primary Tumor	155.1723
490ee22a-f171-4f7f-9d49-835afe7388c1	Primary Tumor	100.3924
cde8569f-d0a0-4f05-a86e-0f9d84361faf	Primary Tumor	39.6036
63f5b69e-2307-4be6-98e4-b0f57b6394d0	Primary Tumor	170.4573
41e96482-bc24-4a1a-8ef2-8ef4d525ad40	Primary Tumor	33.7969
cfac28bf-001d-4db8-942a-d244f93139a7	Primary Tumor	8.9077
26ea6a31-ea33-4bb9-814f-c0840dafe69e	Primary Tumor	55.3489
8a518a19-2c85-42ec-b027-47139aa442d4	Primary Tumor	0.4912
0c09a94d-8885-49fb-91c1-aa0ebf52386a	Primary Tumor	144.4363
e20ecad8-f22d-4e2d-99af-bc1be98c5128	Primary Tumor	233.5276
901c6ff1-19bf-48d8-894d-766f1995a916	Primary Tumor	237.6646
d2436cea-20c9-4c32-98d3-61eb445865be	Primary Tumor	92.9246
21285d92-3596-4a82-91ae-a99e22479a3c	Primary Tumor	93.7216
0765d9e8-0fec-46bc-832a-89945435d5b1	Primary Tumor	403.2016
a60f0ff5-6f4c-43a1-8dda-10b882880bfc	Primary Tumor	399.5456
754343b4-f9f5-478a-a076-2791b8857c3e	Primary Tumor	49.2903
3aa81439-d4cc-41ef-9568-e6a11c8b1b52	Primary Tumor	21.5864
3563bce2-6547-4081-883e-1e7e498c83be	Primary Tumor	219.3417
5f2d965a-25df-4736-a675-efeb59341a04	Primary Tumor	24.5437
5caf3127-967f-4d07-b49d-7126728e2048	Primary Tumor	182.0794
94d8b11e-0198-4f40-987a-44691b3b03fa	Primary Tumor	162.0289
0905662e-ae14-4807-94ef-69db108fa2ee	Primary Tumor	131.0458
68b00cb6-4335-4c64-a3e0-0c29ed574480	Primary Tumor	381.7638
a4b8b2f2-6a56-4999-bd95-c2c8e4aa3bd0	Solid Tissue Normal	146.659
42be8d70-f8a0-49ea-94a9-58e320337843	Primary Tumor	143.5289
a4377fa6-f7e2-4289-ac2d-3cc87b6cc289	Solid Tissue Normal	95.1009
946692ad-ed52-4bd8-85ac-efe5178b15b4	Primary Tumor	22.6219
a5407526-9c45-427b-abcc-65d6e1f87158	Primary Tumor	225.2305
cce2b6af-bff9-4ad0-805d-b32aa6fae985	Primary Tumor	207.0209
afa5c7c4-02f8-4417-873c-378937f5fbbb	Primary Tumor	214.9609
94861d8a-3b40-4334-9fb5-c9df71a1e1da	Primary Tumor	179.4585
6c66987a-38f6-4125-8ac1-aa55921fcc26	Primary Tumor	10.2619
5ecf82a3-8658-4a64-a14c-fc5d1d6f56f8	Primary Tumor	89.8002
e824e07e-86cd-43eb-8f36-c60f36194f3c	Primary Tumor	326.3201
091d2c9e-a8cb-4212-a434-7c7d4fd75f7b	Primary Tumor	137.0214
bfecde55-3ed3-4977-899b-d7c22b6df15b	Primary Tumor	125.9772
51f545d2-3da2-46c1-9ed4-204133701dad	Primary Tumor	277.9035
4dbd91d6-8d7b-4e6d-9dc1-3347c3f3996d	Primary Tumor	138.1977
ad62355a-f287-49b2-84a9-64c0f5847c20	Solid Tissue Normal	97.6352
09296d1f-9877-438d-96d8-7b4cc52940dd	Primary Tumor	10.5441
27450388-ffc7-4812-b5b4-9819b0a74a0b	Primary Tumor	106.0545
466db517-921b-47e8-b249-b4c9bd714bfd	Primary Tumor	89.5745
1098101e-1770-4055-ae41-d6c15e1c7b90	Primary Tumor	7.8405
fc732523-d387-4a1d-ab81-34e44e869bac	Primary Tumor	65.7248
56e9a740-ee72-4c10-a90d-921034141b42	Solid Tissue Normal	174.9576
927beddd-e0e7-4695-b744-79f27519389e	Primary Tumor	336.4819
de18a680-86a5-4319-a332-42227d490aa5	Primary Tumor	2.3986
334cc9fa-3e9b-4462-b84d-dc595e89d537	Primary Tumor	5.0563
df03bdab-42a9-4467-a767-b584bb60e926	Primary Tumor	119.932
d7439e19-2ab4-4209-9628-16e6ae6bc11e	Primary Tumor	282.7829
f73807f5-edf8-4a4d-8550-048d9c5413e5	Primary Tumor	121.6308
b0eade9b-2ce4-4ffd-9db3-56958b452af6	Primary Tumor	7.5122
148c1368-6302-4daf-b389-2c92f5da0529	Primary Tumor	43.186
5ddf8f4a-edd8-4b97-8d4d-76655d9018c5	Primary Tumor	135.821
9dffc7c0-da78-48a9-b438-a4886a45048e	Primary Tumor	228.6102
2ff24c33-39c6-4171-af42-f54e4ee8b021	Solid Tissue Normal	118.4202
6855a406-c085-45c7-b789-981786f0c775	Primary Tumor	41.5858
b5c6258a-8591-4f96-81d5-8ecc931b57a8	Primary Tumor	55.5517
38259364-ebcb-4f5f-8471-8ffe7e3267a7	Primary Tumor	111.4231
e4988cad-67b9-41a6-9640-2226d6b7424a	Solid Tissue Normal	124.9474
942673a7-5072-466f-985c-42d38aeb5c2c	Primary Tumor	207.2092
906a6a3f-91ce-4433-9a0d-e010a61782f0	Primary Tumor	97.3066
b4de06a8-883b-4d02-afc6-d926c588c4ee	Primary Tumor	333.982
eac5ebd0-d788-4908-8eb7-976d6b611667	Primary Tumor	210.6669
ac9d6b6d-37e9-44ca-9f70-0e6351c39341	Primary Tumor	289.645
67543f50-3821-4723-842d-3924b9a32142	Primary Tumor	144.872
4320b770-69f3-4dd2-afea-8b7f7cdf44c2	Primary Tumor	107.5433
e1a4e922-876b-45d1-8fb6-5d39dbf6ff60	Solid Tissue Normal	126.9954
d2000aa0-a3c5-4155-8995-80ec5f4436e2	Primary Tumor	187.7981
4b2e6f07-59e6-47c0-85ea-1e73f3354a01	Primary Tumor	93.486
a5c19494-731c-4519-b8a7-b7307aea2f9c	Solid Tissue Normal	177.6156
e7ae9253-4c2d-41bd-9d3a-c37e9841f479	Primary Tumor	265.6004
218eb2f2-24b1-4e41-9071-26ed97a2edc1	Primary Tumor	259.2985
d3d249ab-0483-4e9c-99f3-07afb5b6dabc	Primary Tumor	332.4942
a4ed7fd8-e220-46e6-90f7-3b208dbf4e05	Primary Tumor	135.2889
36e8195f-72b1-4d87-9be5-a487689aba5e	Primary Tumor	164.2942
b6a0d742-e7bc-4d67-8014-675e62f1ddd0	Primary Tumor	201.8443
efc4983d-f573-4996-bf5c-5aaa1aafd730	Primary Tumor	201.9545
477d7181-e081-4577-ac06-e508b1239989	Primary Tumor	32.8761
ffec28dd-cc44-4057-bcc3-ccc0cd2331c2	Primary Tumor	96.9613
169b5555-f64c-4bbd-9c07-af0c42ddb6aa	Primary Tumor	51.1688
76cc364e-8214-4a17-8083-9ea80e74c400	Primary Tumor	13.2968
c7ee3fa6-4a2f-4824-a098-91ce6c1223c3	Primary Tumor	172.8515
de0b900f-151a-4173-a070-3ec31ec05aed	Primary Tumor	101.0048
1860869f-ecb5-43ae-9714-328ff5748c2a	Primary Tumor	40.8552
de82c428-0b33-48e0-a337-42ac0a434a24	Primary Tumor	82.7879
f7d58012-79f4-440f-add6-8a00728e96ba	Primary Tumor	5.6546
de26de4a-c738-4a8b-a44a-0eab208c0db2	Primary Tumor	150.875
5c32fbb8-55ee-4bc9-a0db-d8ac0b04bdc4	Primary Tumor	84.2266
8e14dba9-6132-483c-892b-b244704fdc38	Primary Tumor	121.6026
201c0fbc-124c-4ef0-b767-393443a47892	Primary Tumor	78.3017
64c35a37-5b92-4e2e-831d-9bbe50401dd5	Primary Tumor	135.9533
5ecec8fc-845f-43cf-82c3-73dea85cc53c	Primary Tumor	43.7688
1d7b2b60-11d7-4803-8c7f-45fc6ce45a25	Primary Tumor	373.0318
65f85615-96a2-4b3c-ac05-ab67d0bf9e99	Primary Tumor	158.4193
5b99d571-43d2-4d26-9a3b-0a299a0ce048	Primary Tumor	312.3815
3ca2ec6c-4134-4595-9c5e-68c886d3aa1c	Primary Tumor	142.9793
e0d8cd2d-967f-4b04-afa9-3aca54bcaf5d	Primary Tumor	155.4514
47fc2fd2-84ce-49e2-8481-407d7a639042	Primary Tumor	231.335
